id,position,multiplier,is_captain,is_vice_captain
113,1,1,False,False
306,2,1,False,False
285,3,1,False,False
357,4,1,False,False
346,5,1,False,False
428,6,1,False,False
407,7,1,False,False
19,8,1,False,False
210,9,1,False,True
28,10,1,False,False
318,11,2,True,False
81,12,0,False,False
111,13,0,False,False
114,14,0,False,False
448,15,0,False,False
113,1,1,False,False
306,2,1,False,False
285,3,1,False,False
357,4,1,False,False
111,5,1,False,False
428,6,1,False,False
407,7,1,False,False
19,8,1,False,False
210,9,1,False,True
28,10,1,False,False
318,11,2,True,False
81,12,0,False,False
346,13,0,False,False
114,14,0,False,False
448,15,0,False,False
113,1,1,False,False
306,2,1,False,False
285,3,1,False,False
357,4,1,False,False
448,5,1,False,False
111,6,1,False,False
428,7,1,False,False
19,8,1,False,False
210,9,1,False,False
28,10,1,False,True
318,11,2,True,False
81,12,1,False,False
368,13,1,False,False
346,14,1,False,False
109,15,1,False,False
81,1,1,False,False
235,2,1,False,False
306,3,1,False,False
285,4,1,False,False
448,5,1,False,False
19,6,1,False,True
428,7,1,False,False
111,8,1,False,False
210,9,1,False,False
318,10,3,True,False
28,11,1,False,False
113,12,0,False,False
368,13,0,False,False
346,14,0,False,False
357,15,0,False,False
478,1,1,False,False
312,2,1,False,False
106,3,1,False,False
280,4,1,False,False
357,5,1,False,False
301,6,1,False,False
233,7,1,False,False
428,8,1,False,True
535,9,1,False,False
111,10,1,False,False
318,11,2,True,False
24,12,0,False,False
476,13,0,False,False
484,14,0,False,False
54,15,0,False,False
81,1,1,False,False
235,2,1,False,False
306,3,1,False,False
357,4,1,False,False
104,5,1,False,False
111,6,1,False,False
428,7,1,False,False
19,8,1,False,False
28,9,1,False,False
210,10,2,True,False
318,11,1,False,True
113,12,0,False,False
285,13,0,False,False
346,14,0,False,False
448,15,0,False,False
81,1,1,False,False
306,2,1,False,False
448,3,1,False,False
357,4,1,False,False
19,5,1,False,False
428,6,1,False,False
346,7,1,False,False
111,8,1,False,False
210,9,2,True,False
318,10,1,False,True
28,11,1,False,False
113,12,0,False,False
235,13,0,False,False
104,14,0,False,False
146,15,0,False,False
81,1,1,False,False
306,2,1,False,False
235,3,1,False,False
146,4,1,False,False
111,5,1,False,False
261,6,1,False,False
428,7,1,False,False
19,8,1,False,False
28,9,1,False,False
210,10,1,False,True
318,11,2,True,False
113,12,0,False,False
346,13,0,False,False
357,14,0,False,False
448,15,0,False,False
147,1,1,False,False
448,2,1,False,False
146,3,1,False,False
43,4,1,False,False
280,5,1,False,False
19,6,1,False,False
293,7,1,False,False
283,8,3,True,False
311,9,1,False,False
28,10,1,False,False
318,11,1,False,True
182,12,0,False,False
503,13,0,False,False
237,14,0,False,False
78,15,0,False,False
182,1,1,False,False
448,2,1,False,False
146,3,1,False,False
43,4,1,False,False
280,5,1,False,False
19,6,1,False,False
293,7,1,False,False
283,8,1,False,True
225,9,1,False,False
28,10,1,False,False
318,11,2,True,False
147,12,0,False,False
237,13,0,False,False
78,14,0,False,False
503,15,0,False,False
182,1,1,False,False
448,2,1,False,False
146,3,1,False,False
280,4,1,False,False
104,5,1,False,False
19,6,1,False,False
293,7,1,False,False
283,8,2,True,False
225,9,1,False,False
28,10,1,False,False
318,11,1,False,True
147,12,0,False,False
78,13,0,False,False
43,14,0,False,False
237,15,0,False,False
281,1,1,False,False
448,2,1,False,False
146,3,1,False,False
26,4,1,False,False
306,5,1,False,False
19,6,1,False,False
446,7,1,False,False
301,8,1,False,False
225,9,1,False,False
28,10,1,False,True
318,11,2,True,False
182,12,0,False,False
104,13,0,False,False
366,14,0,False,False
219,15,0,False,False
281,1,1,False,False
448,2,1,False,False
26,3,1,False,False
306,4,1,False,False
104,5,1,False,False
19,6,1,False,False
293,7,1,False,False
301,8,1,False,True
225,9,1,False,False
28,10,1,False,False
318,11,2,True,False
182,12,0,False,False
146,13,0,False,False
366,14,0,False,False
219,15,0,False,False
281,1,1,False,False
448,2,1,False,False
366,3,1,False,False
306,4,1,False,False
104,5,1,False,False
19,6,1,False,False
293,7,1,False,False
301,8,1,False,False
335,9,1,False,False
28,10,1,False,True
318,11,2,True,False
182,12,0,False,False
146,13,0,False,False
26,14,0,False,False
219,15,0,False,False
281,1,1,False,False
146,2,1,False,False
366,3,1,False,False
306,4,1,False,False
26,5,1,False,False
104,6,1,False,False
19,7,1,False,False
301,8,1,False,False
335,9,1,False,False
28,10,1,False,True
318,11,2,True,False
182,12,1,False,False
293,13,1,False,False
448,14,1,False,False
219,15,1,False,False
398,1,1,False,False
448,2,1,False,False
366,3,1,False,False
306,4,1,False,False
26,5,1,False,False
428,6,2,True,False
19,7,1,False,False
301,8,1,False,False
433,9,1,False,False
28,10,1,False,False
318,11,1,False,True
548,12,0,False,False
370,13,0,False,False
380,14,0,False,False
146,15,0,False,False
398,1,1,False,False
146,2,1,False,False
366,3,1,False,False
306,4,1,False,False
293,5,1,False,False
104,6,1,False,False
19,7,1,False,False
301,8,1,False,False
335,9,1,False,True
28,10,1,False,False
318,11,2,True,False
281,12,1,False,False
26,13,1,False,False
448,14,1,False,False
219,15,1,False,False
307,1,1,False,False
367,2,1,False,False
10,3,1,False,False
306,4,1,False,False
261,5,1,False,False
